[171]	validation_0-rmse:3.23985	validation_0-mae:2.20939	validation_1-rmse:4.11527	validation_1-mae:2.67256
[172]	validation_0-rmse:3.23461	validation_0-mae:2.20601	validation_1-rmse:4.11302	validation_1-mae:2.67086
[173]	validation_0-rmse:3.22909	validation_0-mae:2.20237	validation_1-rmse:4.11034	validation_1-mae:2.66870
[174]	validation_0-rmse:3.22422	validation_0-mae:2.19915	validation_1-rmse:4.10798	validation_1-mae:2.66689
[175]	validation_0-rmse:3.21910	validation_0-mae:2.19590	validation_1-rmse:4.10559	validation_1-mae:2.66513
[176]	validation_0-rmse:3.21367	validation_0-mae:2.19246	validation_1-rmse:4.10294	validation_1-mae:2.66306
[177]	validation_0-rmse:3.20849	validation_0-mae:2.18934	validation_1-rmse:4.10069	validation_1-mae:2.66156
[178]	validation_0-rmse:3.20375	validation_0-mae:2.18636	validation_1-rmse:4.09889	validation_1-mae:2.66008
[179]	validation_0-rmse:3.19904	validation_0-mae:2.18330	validation_1-rmse:4.09686	validation_1-mae:2.65853
[180]	validation_0-rmse:3.19360	validation_0-mae:2.17988	validation_1-rmse:4.09425	validation_1-mae:2.65647
[181]	validation_0-rmse:3.18835	validation_0-mae:2.17662	validation_1-rmse:4.09193	validation_1-mae:2.65477
[182]	validation_0-rmse:3.18396	validation_0-mae:2.17367	validation_1-rmse:4.08999	validation_1-mae:2.65329
[183]	validation_0-rmse:3.17908	validation_0-mae:2.17069	validation_1-rmse:4.08803	validation_1-mae:2.65196
[184]	validation_0-rmse:3.17379	validation_0-mae:2.16733	validation_1-rmse:4.08540	validation_1-mae:2.64998
[185]	validation_0-rmse:3.16927	validation_0-mae:2.16429	validation_1-rmse:4.08283	validation_1-mae:2.64817
[186]	validation_0-rmse:3.16413	validation_0-mae:2.16110	validation_1-rmse:4.08047	validation_1-mae:2.64652
[187]	validation_0-rmse:3.15892	validation_0-mae:2.15791	validation_1-rmse:4.07817	validation_1-mae:2.64486
[188]	validation_0-rmse:3.15391	validation_0-mae:2.15470	validation_1-rmse:4.07566	validation_1-mae:2.64307
[189]	validation_0-rmse:3.14892	validation_0-mae:2.15136	validation_1-rmse:4.07329	validation_1-mae:2.64128
[190]	validation_0-rmse:3.14366	validation_0-mae:2.14820	validation_1-rmse:4.07111	validation_1-mae:2.63945
[191]	validation_0-rmse:3.13863	validation_0-mae:2.14507	validation_1-rmse:4.06893	validation_1-mae:2.63783
[192]	validation_0-rmse:3.13245	validation_0-mae:2.14138	validation_1-rmse:4.06597	validation_1-mae:2.63579
[193]	validation_0-rmse:3.12756	validation_0-mae:2.13831	validation_1-rmse:4.06365	validation_1-mae:2.63416
[194]	validation_0-rmse:3.12259	validation_0-mae:2.13517	validation_1-rmse:4.06144	validation_1-mae:2.63241
[195]	validation_0-rmse:3.11741	validation_0-mae:2.13202	validation_1-rmse:4.05911	validation_1-mae:2.63082
[196]	validation_0-rmse:3.11227	validation_0-mae:2.12904	validation_1-rmse:4.05674	validation_1-mae:2.62936
[197]	validation_0-rmse:3.10755	validation_0-mae:2.12599	validation_1-rmse:4.05478	validation_1-mae:2.62779
[198]	validation_0-rmse:3.10265	validation_0-mae:2.12286	validation_1-rmse:4.05187	validation_1-mae:2.62597
[199]	validation_0-rmse:3.09775	validation_0-mae:2.11973	validation_1-rmse:4.04972	validation_1-mae:2.62427
[200]	validation_0-rmse:3.09330	validation_0-mae:2.11697	validation_1-rmse:4.04782	validation_1-mae:2.62292
[201]	validation_0-rmse:3.08723	validation_0-mae:2.11342	validation_1-rmse:4.04496	validation_1-mae:2.62099
[202]	validation_0-rmse:3.08318	validation_0-mae:2.11084	validation_1-rmse:4.04322	validation_1-mae:2.61976
[203]	validation_0-rmse:3.07794	validation_0-mae:2.10755	validation_1-rmse:4.04070	validation_1-mae:2.61799
[204]	validation_0-rmse:3.07281	validation_0-mae:2.10445	validation_1-rmse:4.03843	validation_1-mae:2.61634
[205]	validation_0-rmse:3.06789	validation_0-mae:2.10123	validation_1-rmse:4.03608	validation_1-mae:2.61458
[206]	validation_0-rmse:3.06396	validation_0-mae:2.09859	validation_1-rmse:4.03438	validation_1-mae:2.61314
[207]	validation_0-rmse:3.05946	validation_0-mae:2.09558	validation_1-rmse:4.03224	validation_1-mae:2.61158
[208]	validation_0-rmse:3.05407	validation_0-mae:2.09237	validation_1-rmse:4.02963	validation_1-mae:2.60995
[209]	validation_0-rmse:3.04972	validation_0-mae:2.08948	validation_1-rmse:4.02764	validation_1-mae:2.60832
[210]	validation_0-rmse:3.04556	validation_0-mae:2.08670	validation_1-rmse:4.02561	validation_1-mae:2.60674
[211]	validation_0-rmse:3.04154	validation_0-mae:2.08409	validation_1-rmse:4.02405	validation_1-mae:2.60550
[212]	validation_0-rmse:3.03706	validation_0-mae:2.08130	validation_1-rmse:4.02207	validation_1-mae:2.60406
